Category,Headline,Summary,URL,Category_encoded,cluster
sports,Lovro Zvonarek Scores Debut Bundesliga Goal as Bayern Munich Secures Victory,"Berlin,— Lovro Zvonarek made an electrifying Bundesliga debut on Sunday, scoring minutes into his first",https://www.thezimbabwemail.com/category/sports/,3,0
sports,Kylian Mbappé Receives Mixed Reception from Paris Saint-Germain Fans in Farewell Home Game,"Paris,— Paris Saint-Germain’s star forward Kylian Mbappé experienced a bittersweet farewell from fans during his",https://www.thezimbabwemail.com/category/sports/,3,0
sports,Real Madrid Celebrates Spanish League Triumph in Festive Parade,"Madrid,— Real Madrid, the Spanish football powerhouse, celebrated its 36th league title triumph in style",https://www.thezimbabwemail.com/category/sports/,3,0
sports,"Kylian Mbappe Announces Departure from PSG, Speculation Mounts Over Real Madrid Move","PARIS – In a heartfelt video message shared on social media platform X, French soccer",https://www.thezimbabwemail.com/category/sports/,3,0
sports,Vinicius Jr Impresses Manager Ancelotti Ahead of Potential Ballon d’Or Triumph,MADRID – Real Madrid’s dynamic forward Vinicius Jr has captured the attention of fans and,https://www.thezimbabwemail.com/category/sports/,3,0
sports,Guardiola Praises Arsenal’s Title Challenge as Man City Gear Up for Fulham Clash,MANCHESTER – Manchester City manager Pep Guardiola has drawn comparisons between Arsenal’s title challenge this,https://www.thezimbabwemail.com/category/sports/,3,0
sports,Erik ten Hag Acknowledges Impact of Injuries Amid Speculation Over Future,"MANCHESTER – Manchester United’s manager, Erik ten Hag, addressed concerns about the club’s underwhelming season",https://www.thezimbabwemail.com/category/sports/,3,0
sports,"National Sports Stadium Renovations Face Setbacks, No Clear Timeline Provided",HARARE – The optimism of having the National Sports Stadium ready for international football matches,https://www.thezimbabwemail.com/category/sports/,3,0
sports,Bayern Munich labelled sore losers making up stuff about match officials,MADRID -Bayern Munich defender Matthijs de Ligt revealed that the linesman apologized to him for,https://www.thezimbabwemail.com/category/sports/,3,0
arts,John Oliver on opioid settlements: ‘We can change the arc of this story’,Last Week Tonight host looks into spending by state and local authorities of $50bn from settlements in the opioid crisis,https://www.theguardian.com/us/culture,0,1
arts,30 years on from the on-set death of Brandon Lee,"The actor was killed in a freak accident on the set of The Crow, a tragedy that still haunts those who worked alongside",https://www.theguardian.com/us/culture,0,1
arts,Steve Buscemi victim of random street attack in New York City,The French photographer has been crowned Master of Photography at this year’s Photo London thanks to three decades of work exploring femininity and the body,https://www.theguardian.com/us/culture,0,1
arts,A lot of men really get off on watching a woman get angry,The French photographer has been crowned Master of Photography at this year’s Photo London thanks to three decades of work exploring femininity and the body,https://www.theguardian.com/us/culture,0,1
business,GameStop shares double as ‘Roaring Kitty’ returns to social media,"Company, which operates roughly 2,000 stores, declined to disclose number of stores where merchandise will not be available",https://www.theguardian.com/us/business,1,1
business,Target Pride merchandise only available at select stores after rightwing backlash,United Auto Workers union sees two of German-owned carmaker’s plants as key in effort to unionize industry in southern US,https://www.theguardian.com/us/business,1,1
business,Mercedes workers in Alabama face anti-union message ‘barrage’ before election,"As brick-and-mortar retail stores compete with e-commerce, chains are spending heavily to immerse customers in bespoke fragrances",https://www.theguardian.com/us/business,1,1
business,"‘It’s the brand speaking to you’: the scent firms making smells for Subway, Abercrombie and more","Berkshire Hathaway’s billionaire CEO, 93, steels shareholders for new era",https://www.theguardian.com/us/business,1,1
business,They wait in the rain to see Warren Buffett. Will they still flock to Omaha when he’s gone?,at the annual meeting known as ‘Woodstock for Capitalists’,https://www.theguardian.com/us/business,1,1
arts,"Sean “Diddy” Combs Seeks Dismissal of Rape Lawsuit, Denounces Allegations as False",NEW YORK – Sean “Diddy” Combs has made a legal move to dismiss a lawsuit,https://www.thezimbabwemail.com/category/entertainment/,0,1
arts,Drake vs Kendrick Lamar: The explosive rap battle that has shook the hip-hop world,"THE longstanding feud between hip-hop heavyweights Drake and Kendrick Lamar has ignited once again, marking",https://www.thezimbabwemail.com/category/entertainment/,0,1
arts,Justin and Hailey Bieber Expecting First Child and Renew Vows,NEW YORK — The anticipation is as high as the notes in his 2010 chart-topper,https://www.thezimbabwemail.com/category/entertainment/,0,1
arts,Janet Jackson’s Career Journey to Be Immortalized in New Comic Book Release,"LOS ANGELES,- TidalWave Comics is set to launch a captivating new comic book that promises",https://www.thezimbabwemail.com/category/entertainment/,0,1
arts,Drake Denies Allegations of Underage Relationships and Secret Love Child Amidst Feud with Kendrick Lamar,TORONTO — The ongoing feud between Drake and Kendrick Lamar has taken a controversial turn,https://www.thezimbabwemail.com/category/entertainment/,0,1
arts,Security Guard Injured in Shooting Incident at Drake’s Toronto Mansion,"Toronto, Canada – A shooting incident occurred at Canadian rapper Drake’s mansion in Toronto in",https://www.thezimbabwemail.com/category/entertainment/,0,1
arts,Madonna attracts 1.6 million to free concert at Brazil’s Copacabana beach,"RIO DE JANEIRO,- More than a million people thronged Brazil’s Copacabana beach for a free",https://www.thezimbabwemail.com/category/entertainment/,0,1
arts,"Mary J. Blige enlists Taraji P. Henson, Tiffany Haddish and more for women’s summit in New York",LOS ANGELES — Mary J. Blige is bringing her mission to empower women beyond her,https://www.thezimbabwemail.com/category/entertainment/,0,1
arts,The Rolling Stones show no signs of slowing down as they begin their latest tour,HOUSTON — Time marches on and all good things must come to an end. But,https://www.thezimbabwemail.com/category/entertainment/,0,1
arts,Chicago appeals court rejects R. Kelly ‘s challenge of 20-year sentence,CHICAGO — The singer R. Kelly was correctly sentenced to 20 years in prison on,https://www.thezimbabwemail.com/category/entertainment/,0,1
